Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Piezo_6_V,Timestamp_s
2.0088,1.8719,1.6911,1.5494,1.5347,1.5152,6.586452
1.7644,1.7937,1.7058,1.5934,1.5445,1.5152,6.598508
1.6325,1.7058,1.6813,1.6129,1.5543,1.52,6.610472
1.5738,1.6373,1.652,1.6276,1.5787,1.5396,6.63218
1.5396,1.5885,1.6031,1.6031,1.5787,1.5298,6.6665
1.52,1.5445,1.5689,1.5689,1.5591,1.52,6.70082
1.5103,1.5152,1.5347,1.5396,1.5298,1.5054,6.73514
1.5054,1.4907,1.52,1.5249,1.5103,1.4956,6.76946
1.4809,1.4761,1.4809,1.4956,1.4858,1.4614,6.80378
1.4614,1.4467,1.4516,1.4614,1.4565,1.4321,6.8381
1.437,1.4321,1.4272,1.4272,1.4272,1.4223,6.87242
1.4076,1.4076,1.4076,1.4076,1.4027,1.4076,6.90674
1.3881,1.3881,1.393,1.3832,1.3832,1.3881,6.94106
1.3685,1.3636,1.3685,1.3539,1.3587,1.3734,6.97538
1.349,1.349,1.349,1.3343,1.3343,1.349,7.0097
1.3294,1.3343,1.3343,1.3196,1.3196,1.3294,7.04402
1.3148,1.3148,1.3196,1.305,1.3099,1.3099,7.07834
1.2952,1.3001,1.3148,1.3001,1.2903,1.2854,7.11266
1.2805,1.2805,1.2854,1.2805,1.2854,1.2708,7.14698
1.2659,1.2708,1.2757,1.261,1.2561,1.2512,7.1813
1.2512,1.2561,1.2512,1.2561,1.2463,1.2414,7.21562
1.2366,1.2414,1.2463,1.2366,1.2366,1.2219,7.24994
1.2268,1.2317,1.2268,1.2317,1.2121,1.2072,7.28426
1.2023,1.2121,1.2219,1.2268,1.2072,1.1877,7.31858
1.1975,1.1975,1.2023,1.2072,1.1926,1.1828,7.3529
1.1828,1.1877,1.1877,1.1877,1.1828,1.1681,7.38722
1.1681,1.173,1.1779,1.1681,1.1681,1.1584,7.42154
1.1584,1.1535,1.1632,1.1632,1.1486,1.129,7.45586
1.1437,1.1437,1.1486,1.1339,1.1388,1.1388,7.49018
1.1339,1.1241,1.1437,1.1241,1.1241,1.1241,7.5245
1.1193,1.1144,1.1144,1.1144,1.1095,1.1241,7.55882
1.1095,1.1046,1.1095,1.1046,1.1046,1.1095,7.59314
1.0997,1.0948,1.0997,1.0899,1.0948,1.0997,7.62746
1.085,1.0802,1.085,1.085,1.0899,1.0899,7.66178
1.0753,1.0802,1.0753,1.0704,1.0753,1.0802,7.6961
1.0704,1.0753,1.0704,1.0704,1.0802,1.0606,7.73042
1.0655,1.0655,1.0655,1.0557,1.0655,1.0557,7.76474
1.0606,1.0655,1.0606,1.0606,1.0655,1.0362,7.79906
1.0557,1.0606,1.0606,1.0606,1.0459,1.0313,7.833388
1.0411,1.0508,1.0411,1.0459,1.0362,1.0411,7.8677
1.0313,1.0508,1.0362,1.0411,1.0362,1.0215,7.90202
1.0313,1.0411,1.0411,1.0264,1.0313,1.0117,7.93634
1.0264,1.0313,1.0362,1.0264,1.0117,1.0068,7.97066
1.0166,1.0215,1.0215,1.0215,1.0117,1.0117,8.00498
0.9922,1.002,1.0215,1.0117,1.0068,1.002,8.0393
0.9922,1.002,1.0117,1.0117,0.9922,1.002,8.07362
0.9971,0.9873,0.9873,1.002,0.9922,0.9824,8.10794
0.9824,0.9775,0.9922,0.9824,0.9971,0.9971,8.14226
0.9482,0.958,0.9922,0.9775,0.9775,0.9873,8.17658
0.9677,0.9726,0.9677,0.9482,0.9922,0.9824,8.2109
0.9629,0.9629,0.9629,0.958,0.9824,0.9873,8.24522
0.9629,0.9629,0.9677,0.9629,0.9726,0.9775,8.27954
0.9629,0.9677,0.9677,0.9629,0.9775,0.958,8.313868
0.9629,0.9726,0.9629,0.9677,0.9677,0.9629,8.34818
0.9726,0.9677,0.9726,0.9629,0.9677,0.958,8.3825
0.9531,0.9677,0.9726,0.9677,0.9629,0.9482,8.41682
0.958,0.9629,0.9629,0.9677,0.9629,0.9384,8.45114
0.9531,0.9677,0.9677,0.958,0.9531,0.9286,8.48546
0.9629,0.9384,0.9531,0.9531,0.9433,0.9189,8.51978
0.9433,0.9384,0.9384,0.958,0.9238,0.9335,8.5541
0.9335,0.9335,0.9384,0.9335,0.9335,0.9189,8.58842
0.9335,0.9286,0.9335,0.9335,0.9286,0.9286,8.62274
0.9238,0.9286,0.9238,0.9189,0.914,0.9189,8.65706
0.914,0.9189,0.9238,0.9189,0.914,0.9238,8.69138
0.9189,0.9189,0.9238,0.9091,0.914,0.9189,8.7257
0.914,0.9189,0.9189,0.9189,0.9286,0.9238,8.76002
0.914,0.914,0.9286,0.9286,0.9238,0.9335,8.79434
0.9238,0.9238,0.9286,0.9384,0.9482,0.9384,8.82866
0.9238,0.9433,0.9433,0.9433,0.9531,0.9433,8.86298
0.9335,0.9189,0.9335,0.9433,0.9384,0.9286,8.8973
0.9286,0.9286,0.9189,0.9482,0.9531,0.9384,8.93162
0.9384,0.9384,0.9482,0.9482,0.9629,0.9433,8.96594
0.9629,0.9433,0.9433,0.9629,0.9531,0.9531,9.00026
0.958,0.9726,0.9775,0.9775,0.9824,0.9677,9.03458
0.9873,0.9922,0.9971,0.9922,1.002,0.9824,9.0689
1.0068,1.0215,1.0166,1.0215,1.0264,1.0068,9.10322
1.0411,1.0557,1.0508,1.0655,1.0557,1.0459,9.13754
1.0753,1.0899,1.0997,1.1095,1.1046,1.0948,9.17186
1.1241,1.1388,1.1486,1.1437,1.1535,1.1437,9.20618
1.1632,1.1584,1.1779,1.173,1.1779,1.1632,9.2405
1.1535,1.1535,1.1632,1.1584,1.1437,1.1632,9.27482
1.1046,1.0948,1.1046,1.085,1.0948,1.0948,9.30914
1.002,0.9873,0.9873,0.9726,0.9482,0.9824,9.34346
0.782,0.7527,0.7576,0.7185,0.6989,0.738,9.37778
0.3959,0.3519,0.3715,0.3079,0.2786,0.4252,9.4121
0.044,0.0,0.0098,0.0,0.0,0.0782,9.44018
0.0,0.0,0.0,0.0,0.0,0.0,9.46306
0.0,0.0,0.0,0.0,0.0,0.0,9.4849
0.0,0.0,0.0,0.0,0.0,0.0,9.50674
0.0,0.0,0.0,0.0,0.0,0.0,9.52858
0.0,0.0,0.0,0.0,0.0,0.0,9.55042
0.0,0.0,0.0,0.0,0.0,0.0,9.57226
0.0,0.0,0.0,0.0,0.0,0.0,9.5941
0.0,0.0,0.0,0.0,0.0,0.0,9.61594
0.0,0.0,0.0,0.0,0.0,0.0,9.63778
