Time (s),Voltage (V)
0.962,1.55
0.966,0.0
0.974,1.27
0.982,0.14
0.986,0.0
0.994,1.76
0.999,0.0
1.007,0.86
1.011,1.03
1.023,0.0
1.031,1.43
1.044,0.11
1.052,0.0
1.064,1.69
1.072,0.0
1.085,0.89
1.093,0.89
1.105,0.0
1.113,1.71
1.125,0.29
1.134,0.04
1.146,1.83
1.158,0.0
1.166,1.02
1.179,0.92
1.187,0.0
1.199,1.67
1.207,0.36
1.22,0.14
1.228,1.47
1.24,0.0
1.248,1.39
1.261,0.85
1.269,0.0
1.281,1.95
1.293,0.0
1.302,0.19
1.314,1.33
1.322,0.0
1.334,1.6
1.343,0.84
1.355,0.0
1.363,1.99
1.375,0.0
1.384,0.4
1.396,1.27
1.404,0.03
1.416,1.19
1.429,0.77
1.437,0.0
1.449,1.81
1.457,0.28
1.469,0.36
1.478,1.22
1.49,0.0
1.498,1.18
1.51,0.7
1.519,0.0
1.531,1.87
1.539,0.0
1.551,0.38
1.564,1.2
1.572,0.0
1.584,1.63
1.592,0.67
1.605,0.0
1.613,1.76
1.625,0.0
1.633,0.63
1.646,1.16
1.654,0.0
1.666,1.29
1.674,0.58
1.687,0.0
1.699,1.89
1.707,0.05
1.719,0.68
1.728,1.09
1.74,0.0
1.748,1.67
1.76,0.48
1.769,0.0
1.781,2.03
1.789,0.0
1.801,0.62
1.809,1.03
1.822,0.0
1.834,1.62
1.842,0.39
1.854,0.0
1.863,1.64
1.875,0.31
1.883,0.71
1.895,0.94
1.904,0.0
1.916,1.79
1.924,0.35
1.936,0.0
1.945,1.76
1.957,0.0
1.969,0.84
1.978,1.04
1.99,0.0
1.998,1.87
2.01,0.23
2.018,0.02
2.031,1.77
2.039,0.0
2.051,0.92
2.06,1.06
2.072,0.0
2.08,1.48
2.092,0.06
2.104,0.06
2.113,1.79
2.125,0.14
2.133,1.35
2.145,0.96
2.154,0.0
2.166,1.91
2.174,0.37
2.186,0.11
2.195,1.61
2.207,0.12
2.215,0.99
2.227,0.96
2.239,0.0
2.248,1.63
2.26,0.0
2.268,0.19
2.28,1.52
2.289,0.0
2.301,1.06
2.309,0.92
2.321,0.0
2.33,1.6
2.342,0.37
2.35,0.12
2.362,1.45
2.375,0.0
2.383,0.99
2.395,0.79
2.403,0.0
2.416,1.75
2.424,0.04
2.436,0.24
2.444,1.18
2.457,0.0
2.465,1.6
2.477,0.81
2.485,0.02
2.498,2.0
2.51,0.09
2.518,0.31
2.53,1.16
2.538,0.0
2.551,0.96
2.559,0.76
2.571,0.0
2.579,1.78
2.592,0.0
2.6,0.34
2.612,1.16
2.62,0.0
2.633,1.14
2.645,0.66
2.653,0.0
2.665,1.74
2.674,0.06
2.686,0.43
2.694,1.16
2.706,0.0
2.715,1.18
2.727,0.65
2.735,0.0
2.747,1.82
2.756,0.03
2.768,0.72
2.78,1.18
2.788,0.0
2.801,1.37
2.809,0.53
2.821,0.0
2.829,1.83
2.842,0.31
2.85,0.77
2.862,1.11
2.87,0.0
2.883,1.65
2.891,0.51
2.903,0.0
2.915,2.11
2.923,0.32
2.936,0.85
2.944,1.17
2.956,0.0
2.964,1.72
2.977,0.4
2.985,0.0
2.997,1.97
3.005,0.05
3.018,0.99
3.026,1.09
3.038,0.0
3.05,1.33
3.059,0.32
3.071,0.03
3.079,2.03
3.091,0.01
3.1,1.0
3.112,1.1
3.12,0.0
3.132,1.5
3.141,0.37
