Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.347,0.1564,0.2053,0.1515,0.0978,6.586452
0.088,0.1075,0.1564,0.1466,0.0929,6.588024
0.132,0.1515,0.1515,0.1124,0.0587,6.589504
0.0978,0.132,0.0782,0.088,0.0635,6.594052
0.1711,0.2151,0.0831,0.132,0.1222,6.619012
0.0635,0.1075,0.1711,0.1173,0.1026,6.643972
0.0978,0.132,0.0978,0.1222,0.0978,6.668932
0.1369,0.2248,0.0782,0.1173,0.1466,6.6939
0.132,0.1075,0.0684,0.1026,0.0782,6.718852
0.0929,0.0831,0.0782,0.0929,0.0733,6.743812
0.1271,0.088,0.0733,0.088,0.0733,6.768772
0.0635,0.0831,0.0587,0.0782,0.088,6.793732
0.0587,0.0635,0.0538,0.0684,0.0782,6.818692
0.1173,0.0831,0.088,0.132,0.0733,6.843652
0.0831,0.0782,0.0831,0.0733,0.0978,6.868612
0.1173,0.1124,0.1222,0.0929,0.1222,6.89358
0.0978,0.1124,0.0684,0.088,0.0635,6.918532
0.0929,0.0831,0.0635,0.0587,0.0587,6.943492
0.0684,0.0782,0.0733,0.0587,0.0635,6.968452
0.0733,0.0635,0.0831,0.0635,0.0782,6.993412
0.088,0.0782,0.088,0.0635,0.0538,7.018372
0.0929,0.1124,0.1466,0.1075,0.0978,7.043332
0.1075,0.1173,0.1075,0.1124,0.0635,7.068292
0.1026,0.1026,0.1271,0.1271,0.0782,7.09326
0.0587,0.1271,0.1222,0.1271,0.1124,7.118212
0.088,0.1222,0.1417,0.132,0.0929,7.143172
0.0587,0.1271,0.0978,0.0684,0.088,7.168132
0.1711,0.1222,0.2053,0.1515,0.1271,7.193092
0.0587,0.0929,0.0635,0.1026,0.0538,7.218052
0.0978,0.0782,0.0733,0.1075,0.1271,7.243012
0.0978,0.0782,0.0782,0.0733,0.1369,7.267972
0.176,0.2297,0.1173,0.0978,0.0831,7.29294
0.0929,0.1026,0.2248,0.1124,0.0684,7.317892
0.0831,0.1271,0.132,0.0831,0.0782,7.342852
0.0978,0.1124,0.0635,0.1808,0.0782,7.367812
0.0831,0.0635,0.088,0.0831,0.0538,7.392772
0.0684,0.0733,0.0782,0.0782,0.088,7.417732
0.0782,0.0831,0.0635,0.0635,0.0635,7.442692
0.0684,0.0635,0.0831,0.0684,0.0733,7.467652
0.0733,0.0733,0.1173,0.0684,0.0733,7.49262
0.0733,0.0831,0.0684,0.0733,0.0733,7.517572
0.1271,0.0733,0.0978,0.1075,0.0831,7.542532
0.088,0.0587,0.1124,0.0782,0.0831,7.567492
0.0587,0.0587,0.0635,0.0684,0.0782,7.592452
0.0684,0.0635,0.132,0.0782,0.0684,7.617412
